from_cinema,to_cinema,from_nearest_station,to_nearest_station,walk_from_cinema_to_station_min,metro_in_vehicle_min_est,walk_station_to_cinema_min,total_metro_transfer_min_est,note
CGV影城（松江印象城杜比ULTRA 4DX店）,CGV影城（白玉兰广场IMAX店）,Songjiang University Town,Tilanqiao,22.3,83.0,6.2,111.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,CGV影城（青浦天空万科广场IMAX店）,Songjiang University Town,East Xujing,22.3,85.7,36.5,144.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,CMG融媒影城,Songjiang University Town,Longhua Middle Road,22.3,65.5,16.5,104.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,MOViE MOViE影城（前滩太古里店）,Songjiang University Town,Oriental Sports Center,22.3,72.1,5.9,100.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影影城（丁香路LUXE店）,Songjiang University Town,Middle Yanggao Road,22.3,85.2,10.1,117.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影影城（国华广场店）,Songjiang University Town,Jiangwan Stadium,22.3,96.1,12.6,131.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影影城（港汇永华IMAX激光店）,Songjiang University Town,Xujiahui,22.3,57.8,8.7,88.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC上影百联影城（八佰伴IMAX店）,Songjiang University Town,Shangcheng Road,22.3,78.3,8.1,108.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC动漫主题影院（美罗城店）,Songjiang University Town,Xujiahui,22.3,57.8,7.1,87.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
CGV影城（松江印象城杜比ULTRA 4DX店）,SFC永华电影荟（世纪汇店）,Songjiang University Town,Pudian Road,22.3,83.2,11.3,116.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
